ID	Customer	City	city_ID	Quantity	Price_per_unit	Deliver_From	Deliver_To
1	Покупатель 1	Район 1	2	5000	100	1	8
2	Покупатель 2	Район 1	2	5046	100	1	8
3	Покупатель 3	Район 2	3	642	100	1	8
4	Покупатель 4	Район 2	3	4865	100	1	8
5	Покупатель 5	Район 3	4	218	100	1	8
6	Покупатель 6	Район 3	4	2186	100	1	8
7	Покупатель 7	Район 4	5	1236	100	1	8
8	Покупатель 8	Район 4	5	10000	100	1	8
9	Покупатель 9	Район 5	6	15500	100	1	8
10	Покупатель 10	Район 5	6	238	100	1	8
11	Покупатель 1	Район 1	2	5000	100	9	16
12	Покупатель 2	Район 1	2	1328	100	9	16
13	Покупатель 3	Район 2	3	4896	100	9	16
14	Покупатель 4	Район 2	3	1234	100	9	16
15	Покупатель 5	Район 3	4	369	100	9	16
16	Покупатель 6	Район 3	4	6741	100	9	16
17	Покупатель 7	Район 4	5	2397	100	9	16
18	Покупатель 8	Район 4	5	2314	100	9	16
19	Покупатель 9	Район 5	6	3269	100	9	16
20	Покупатель 10	Район 5	6	1231	100	9	16
21	Покупатель 1	Район 1	2	2319	100	17	24
22	Покупатель 2	Район 1	2	3548	100	17	24
23	Покупатель 3	Район 2	3	21369	100	17	24
24	Покупатель 4	Район 2	3	1234	100	17	24
25	Покупатель 5	Район 3	4	2369	100	17	24
26	Покупатель 6	Район 3	4	1234	100	17	24
27	Покупатель 7	Район 4	5	3219	100	17	24
28	Покупатель 8	Район 4	5	5447	100	17	24
29	Покупатель 9	Район 5	6	2369	100	17	24
30	Покупатель 10	Район 5	6	2134	100	17	24
