Route_Id	from_Name	from_ID	to_Name	to_ID	Time	Distance
1	База	1	Район 1	2	2	100
2	Район 2	3	Район 1	2	2	100
3	Район 3	4	Район 1	2	4	200
4	Район 4	5	Район 1	2	5	300
5	Район 5	6	Район 1	2	5	300
6	База	1	Район 2	3	4	200
7	Район 1	2	Район 2	3	2	100
8	Район 3	4	Район 2	3	2	100
9	Район 4	5	Район 2	3	4	200
10	Район 5	6	Район 2	3	7	400
11	База	1	Район 3	4	5	300
12	Район 1	2	Район 3	4	2	100
13	Район 2	3	Район 3	4	2	100
14	Район 4	5	Район 3	4	2	100
15	Район 5	6	Район 3	4	2	100
16	База	1	Район 4	5	7	400
17	Район 1	2	Район 4	5	5	300
18	Район 2	3	Район 4	5	4	200
19	Район 3	4	Район 4	5	2	100
20	Район 5	6	Район 4	5	4	200
21	База	1	Район 5	6	9	500
22	Район 1	2	Район 5	6	5	300
23	Район 2	3	Район 5	6	7	400
24	Район 3	4	Район 5	6	2	100
25	Район 4	5	Район 5	6	4	200
26	Район 1	2	База	1	2	100
27	Район 2	3	База	1	4	200
28	Район 3	4	База	1	5	300
29	Район 4	5	База	1	7	400
30	Район 5	6	База	1	9	500
